Date,Ticker,Open,High,Low,Close,Volume,Returns,MA10,MA50,Volatility_20d
2021-05-24 18:54:11.988683,SPXX,140.9,143.02,140.23,141.73,4745937,0.005890702625975797,138.311,130.2218,0.11420747393136281
2021-05-25 18:54:11.988683,SPXX,141.73,143.91,138.01,139.98,4001442,-0.012347421152896332,138.64,130.5912,0.12414635999265396
2021-05-26 18:54:11.988683,SPXX,139.98,140.22,139.39,139.88,4961909,-0.0007143877696813572,139.026,130.9344,0.12420391987881743
2021-05-27 18:54:11.988683,SPXX,139.88,141.1,138.7,139.8,3296829,-0.0005719187875320442,139.352,131.26319999999998,0.12424368108775645
2021-05-28 18:54:11.988683,SPXX,139.8,141.08,137.08,139.28,3319327,-0.0037195994277540168,139.447,131.57399999999998,0.12622254221216236
2021-05-31 18:54:11.988683,SPXX,139.28,140.05,138.15,138.65,3484948,-0.004523262492820201,139.365,131.881,0.12786471954697418
2021-06-01 18:54:11.988683,SPXX,138.65,140.81,137.53,138.38,2275695,-0.0019473494410386927,139.509,132.2082,0.12613214010599672
2021-06-02 18:54:11.988683,SPXX,138.38,139.43,137.02,137.77,1977769,-0.00440815146697493,139.554,132.5138,0.12771221714502334
2021-06-03 18:54:11.988683,SPXX,137.77,138.82,137.36,137.65,5232071,-0.000871016912245115,139.402,132.83700000000002,0.12671739162024673
2021-06-04 18:54:11.988683,SPXX,137.65,139.08,136.91,137.1,6775324,-0.0039956411187795915,139.022,133.1302,0.12773537313847338
2021-06-07 18:54:11.988683,SPXX,137.1,137.52,135.87,136.45,4747777,-0.004741064916119697,138.49399999999997,133.3862,0.12811273984292026
2021-06-08 18:54:11.988683,SPXX,136.45,138.92,134.76,138.46,4302563,0.014730670575302529,138.342,133.6662,0.1383756340606426
2021-06-09 18:54:11.988683,SPXX,138.46,139.49,137.76,138.12,4271668,-0.0024555828398094004,138.166,133.9716,0.13733562207751437
2021-06-10 18:54:11.988683,SPXX,138.12,138.93,137.42,137.56,4932350,-0.00405444540978861,137.942,134.2334,0.13788280188372184
2021-06-11 18:54:11.988683,SPXX,137.56,139.42,136.65,138.49,5860207,0.006760686246001901,137.863,134.4864,0.1318347534637962
2021-06-14 18:54:11.988683,SPXX,138.49,138.95,136.19,137.13,2238740,-0.009820203624810508,137.71099999999998,134.7084,0.1326111623298426
2021-06-15 18:54:11.988683,SPXX,137.13,138.05,136.45,137.36,3277656,0.001677240574637251,137.609,134.9356,0.11586756324615252
2021-06-16 18:54:11.988683,SPXX,137.36,139.24,136.52,138.52,3569453,0.008444962143273171,137.68400000000003,135.214,0.11925145544576954
2021-06-17 18:54:11.988683,SPXX,138.52,141.37,137.58,140.79,4373634,0.016387525267109293,137.998,135.4976,0.12383105892092124
2021-06-18 18:54:11.988683,SPXX,140.79,141.69,139.11,140.33,4411327,-0.0032672775055044845,138.321,135.73680000000002,0.11625755488393315
2021-06-21 18:54:11.988683,SPXX,140.33,142.53,139.14,140.65,4282906,0.0022803392004560052,138.741,135.971,0.11445054996065915
2021-06-22 18:54:11.988683,SPXX,140.65,141.03,139.03,139.53,4279893,-0.007963028794880977,138.848,136.1716,0.1093010615488265
2021-06-23 18:54:11.988683,SPXX,139.53,140.9,136.14,138.19,5509853,-0.009603669461764497,138.855,136.3552,0.11435970494070115
2021-06-24 18:54:11.988683,SPXX,138.19,141.03,137.65,140.28,3200591,0.015124104493812851,139.127,136.6022,0.12722803590692064
2021-06-25 18:54:11.988683,SPXX,140.28,143.85,139.09,142.06,6288101,0.012688907898488644,139.48399999999998,136.838,0.13368838793222476
2021-06-28 18:54:11.988683,SPXX,142.06,143.4,140.16,141.75,4286014,-0.002182176545121761,139.946,137.0764,0.13265469129348545
2021-06-29 18:54:11.988683,SPXX,141.75,142.64,141.07,141.59,3902894,-0.0011287477954143865,140.369,137.3152,0.13243370703096125
2021-06-30 18:54:11.988683,SPXX,141.59,145.52,140.47,144.03,3111570,0.01723285542764308,140.92000000000002,137.591,0.14223808725924195
2021-07-01 18:54:11.988683,SPXX,144.03,145.03,142.88,144.33,4554043,0.0020828993959591813,141.274,137.85119999999998,0.1417607372420843
2021-07-02 18:54:11.988683,SPXX,144.33,144.54,142.46,143.6,5101086,-0.0050578535301047944,141.601,138.105,0.1424458138883631
2021-07-05 18:54:11.988683,SPXX,143.6,144.78,140.82,141.98,4864676,-0.01128133704735379,141.734,138.3336,0.14853007073135682
2021-07-06 18:54:11.988683,SPXX,141.98,142.77,139.53,142.38,2120267,0.0028172982110157285,142.019,138.53859999999997,0.1408395400199418
2021-07-07 18:54:11.988683,SPXX,142.38,144.52,140.93,143.23,5797738,0.0059699395982582,142.523,138.74460000000002,0.14092870779539507
2021-07-08 18:54:11.988683,SPXX,143.23,143.68,140.44,141.47,4475419,-0.012287928506597767,142.642,138.9166,0.14834349218666937
2021-07-09 18:54:11.988683,SPXX,141.47,143.43,141.17,141.94,4675340,0.0033222591362125353,142.63000000000002,139.09040000000002,0.1472066751358162
2021-07-12 18:54:11.988683,SPXX,141.94,144.22,141.26,143.36,4024757,0.010004227138227462,142.791,139.2784,0.1441830841741148
2021-07-13 18:54:11.988683,SPXX,143.36,145.9,141.37,144.23,4146118,0.006068638392856984,143.055,139.4618,0.14478780345941322
2021-07-14 18:54:11.988683,SPXX,144.23,144.89,141.44,143.67,5222404,-0.0038826873743327273,143.019,139.6302,0.14466722497707418
2021-07-15 18:54:11.988683,SPXX,143.67,144.71,140.86,142.12,4994264,-0.010788612793206531,142.798,139.7528,0.14059188342398918
2021-07-16 18:54:11.988683,SPXX,142.12,144.17,141.5,142.77,5987234,0.004573599774838177,142.71499999999997,139.8898,0.140554695428893
2021-07-19 18:54:11.988683,SPXX,142.77,143.84,141.0,142.26,3103291,-0.0035721790292079225,142.743,140.00459999999998,0.14132522866614367
2021-07-20 18:54:11.988683,SPXX,142.26,142.76,141.01,141.77,2819873,-0.003444397581892189,142.682,140.1062,0.13857446399682669
2021-07-21 18:54:11.988683,SPXX,141.77,142.01,140.72,141.61,5678203,-0.0011285885589334965,142.52,140.21800000000002,0.13327288285645164
2021-07-22 18:54:11.988683,SPXX,141.61,142.34,140.29,141.19,3417876,-0.002965892239248702,142.49200000000002,140.31099999999998,0.12341178664475742
2021-07-23 18:54:11.988683,SPXX,141.19,142.2,138.53,139.54,4690621,-0.011686380055244694,142.252,140.3352,0.12140817896219756
2021-07-26 18:54:11.988683,SPXX,139.54,141.3,138.43,139.85,4437557,0.0022215852085423204,141.901,140.3428,0.12178110389550204
